Accession	Up/Down	Gene
GSE41018	up	CAMK2A
GSE41018	up	TULP4
GSE41018	up	ARHGDIG
GSE41018	up	ATP5G3
GSE41018	up	PPM1E
GSE41018	up	ATP5G1
GSE41018	up	NRGN
GSE41018	up	TPRN
GSE41018	up	GM2A
GSE41018	up	PUF60
GSE41018	up	NRCAM
GSE41018	up	NOMO1
GSE41018	up	ILKAP
GSE41018	up	UBQLN4
GSE41018	down	ATP6V1E1
GSE41018	down	RBFOX3
GSE41018	down	RPL24
GSE41018	down	FBXO2
GSE41018	down	MMD2
GSE41018	down	PPA1
GSE41018	down	AP1AR
GSE41018	down	GDAP1
GSE41018	down	SCAMP1
GSE41018	down	JMJD6
GSE41018	down	SST
GSE41018	down	RRAGC
GSE41018	down	ADPRH
GSE41018	down	PSMC2
GSE41018	down	SUCLG1
GSE41018	down	EIF1B
GSE41018	down	PFN2
GSE41018	down	CALM2
GSE41018	down	CALM3
GSE41018	down	VPS28
GSE41018	down	APP
GSE41018	down	WBP2
GSE41018	down	PLEKHB1
GSE41018	down	THYN1
GSE41018	down	PLEKHB2
GSE41018	down	SLC35B1
GSE41018	down	RPL12
GSE41018	down	UQCR10
GSE41018	down	ARXES2
GSE41018	down	GLRX
GSE41018	down	ASAH1
GSE41018	down	DHX30
GSE41018	down	STRIP1
GSE41018	down	RPL36AL
GSE41018	down	PSMD8
GSE41018	down	HERC2
GSE41018	down	SV2B
GSE41018	down	VTI1B
GSE41018	down	GM3258
GSE41018	down	RABAC1
GSE41018	down	SAMD14
GSE41018	down	RPL18
GSE41018	down	PTGDS
GSE41018	down	NDFIP1
GSE41018	down	ATP6AP2
GSE41018	down	MIF
GSE41018	down	NR2F1
GSE41018	down	PRKCB
GSE41018	down	CSNK1E
GSE41018	down	TUBG2
GSE41018	down	COX7A2L
GSE41018	down	1500012F01RIK
GSE41018	down	THAP11
GSE41018	down	SLC6A6
GSE41018	down	RPS27
GSE41018	down	MLLT11
GSE41018	down	1700037H04RIK
GSE41018	down	EIF5
GSE41018	down	LPHN1
GSE41018	down	SFXN1
GSE41018	down	PRKAR1A
GSE41018	down	LGMN
GSE41018	down	CHST1
GSE41018	down	VAMP2
GSE41018	down	TAGLN3
GSE41018	down	RPS21
GSE41018	down	ITM2B
GSE41018	down	NMT1
GSE41018	down	RPL3
GSE41018	down	SPARC
GSE41018	down	BEX2
GSE41018	down	MAGED1
GSE41018	down	ARL6IP1
GSE41018	down	RPL34
GSE41018	down	PITPNA
GSE41018	down	MGST3
GSE41018	down	PCBP1
GSE41018	down	ATP5C1
GSE41018	down	RPL9
GSE41018	down	TXNDC15
GSE41018	down	RPS16
GSE41018	down	RPS15
GSE41018	down	CCDC92
GSE41018	down	FTH1
GSE41018	down	PRDX1
GSE41018	down	RPL39
GSE41018	down	RPS10
GSE41018	down	APOE
GSE41018	down	PRKACB
GSE41018	down	APOD
GSE41018	down	RPS14
GSE41018	down	IER3
GSE41018	down	GARNL3
GSE41018	down	GSTM5
GSE41018	down	CTSB
GSE41018	down	PSENEN
GSE41018	down	TSNAX
GSE41018	down	TPI1
GSE41018	down	DUSP1
GSE41018	down	ATPIF1
GSE41018	down	AKR1A1
GSE41018	down	GNG13
GSE41018	down	COX6C
GSE41018	down	CLDN11
GSE41018	down	GNPTG
GSE41018	down	2310022B05RIK
GSE41018	down	FXYD6
GSE41018	down	ALDOC
GSE41018	down	ALDOA
GSE41018	down	TOMM7
GSE41018	down	A730017C20RIK
GSE41018	down	COX7C
GSE41018	down	MRPS17
GSE41018	down	BTG1
GSE41018	down	ARF1
GSE41018	down	CETN3
GSE41018	down	LITAF
GSE41018	down	RPS27L
GSE41018	down	MRPL36
GSE41018	down	GLG1
GSE41018	down	SHD
GSE41018	down	HINT1
GSE41018	down	HINT2
GSE41018	down	EXTL2
GSE41018	down	RAB6B
GSE41018	down	NPM1
GSE41018	down	DYNLL1
GSE41018	down	CSNK2A2
GSE41018	down	ELMOD1
GSE41018	down	SLC32A1
GSE41018	down	PRMT2
GSE41018	down	MRPS24
GSE41018	down	GAA
