Accession	Up/Down	Gene	Effect
GSE72901	down	HMGCS1	Activate
GSE72901	down	EIF2AK2	Activate
GSE72901	down	ITGA3	Activate
GSE72901	down	DHCR24	Activate
GSE72901	down	MSL1	Activate
GSE72901	down	CD24A	Activate
GSE72901	down	DAB2	Activate
GSE72901	down	CDK6	Activate
GSE72901	down	OGN	Activate
GSE72901	down	MFAP2	Activate
GSE72901	down	BCL3	Activate
GSE72901	down	CDK1	Activate
GSE72901	down	BCL2	Activate
GSE72901	down	NES	Activate
GSE72901	down	SPACA6	Activate
GSE72901	down	CD248	Activate
GSE72901	down	TNRC6A	Activate
GSE72901	down	BCAR1	Activate
GSE72901	down	DAGLA	Activate
GSE72901	down	NLGN2	Activate
GSE72901	down	FBLIM1	Activate
GSE72901	down	LRRK1	Activate
GSE72901	down	AMD1	Activate
GSE72901	down	HMMR	Activate
GSE72901	down	NREP	Activate
GSE72901	down	ADRA1D	Activate
GSE72901	down	MLLT3	Activate
GSE72901	down	DUSP14	Activate
GSE72901	down	CYR61	Activate
GSE72901	down	DUSP11	Activate
GSE72901	down	EMILIN2	Activate
GSE72901	down	EMILIN1	Activate
GSE72901	down	MCL1	Activate
GSE72901	down	PRKG2	Activate
GSE72901	down	PLEKHG2	Activate
GSE72901	down	PRC1	Activate
GSE72901	down	KPNB1	Activate
GSE72901	down	TXNIP	Activate
GSE72901	down	MNDA	Activate
GSE72901	down	MET	Activate
GSE72901	down	SLC25A12	Activate
GSE72901	down	SEMA3A	Activate
GSE72901	down	APOL9B	Activate
GSE72901	down	WDR1	Activate
GSE72901	down	APOL9A	Activate
GSE72901	down	TRIM30D	Activate
GSE72901	down	DYSF	Activate
GSE72901	down	SEMA3F	Activate
GSE72901	down	PPM1L	Activate
GSE72901	down	HDAC7	Activate
GSE72901	down	ADAMTS5	Activate
GSE72901	down	ADAMTS4	Activate
GSE72901	down	ADAMTS1	Activate
GSE72901	down	ARRB1	Activate
GSE72901	down	ADAMTS2	Activate
GSE72901	down	CCL7	Activate
GSE72901	down	DHX58	Activate
GSE72901	down	ITGB8	Activate
GSE72901	down	CCL2	Activate
GSE72901	down	BAK1	Activate
GSE72901	down	SLC25A24	Activate
GSE72901	down	IL1R1	Activate
GSE72901	down	MYO7A	Activate
GSE72901	down	P3H4	Activate
GSE72901	down	APLN	Activate
GSE72901	down	CDC20	Activate
GSE72901	down	RUNX2	Activate
GSE72901	down	TM4SF1	Activate
GSE72901	down	ST5	Activate
GSE72901	down	CCDC80	Activate
GSE72901	down	MGP	Activate
GSE72901	down	KIF20A	Activate
GSE72901	down	FAM64A	Activate
GSE72901	down	BCOR	Activate
GSE72901	down	RIN2	Activate
GSE72901	down	RIN3	Activate
GSE72901	down	PFN1	Activate
GSE72901	down	CALM3	Activate
GSE72901	down	IFITM2	Activate
GSE72901	down	IFITM3	Activate
GSE72901	down	CCNF	Activate
GSE72901	down	NTN1	Activate
GSE72901	down	UBE2L6	Activate
GSE72901	down	LY6C1	Activate
GSE72901	down	ACTB	Activate
GSE72901	down	NUAK2	Activate
GSE72901	down	ADGRA2	Activate
GSE72901	down	PTGFRN	Activate
GSE72901	down	EGR1	Activate
GSE72901	down	OMD	Activate
GSE72901	down	INTS3	Activate
GSE72901	down	GADD45G	Activate
GSE72901	down	IRGM2	Activate
GSE72901	down	RAB27B	Activate
GSE72901	down	IRGM1	Activate
GSE72901	down	ZFP618	Activate
GSE72901	down	PARP14	Activate
GSE72901	down	PARP12	Activate
GSE72901	down	KLHDC8A	Activate
GSE72901	down	INTS8	Activate
GSE72901	down	PLPP3	Activate
GSE72901	down	RCOR2	Activate
GSE72901	down	PPP1R18	Activate
GSE72901	down	ANP32A	Activate
GSE72901	down	PPL	Activate
GSE72901	down	IFIT1	Activate
GSE72901	down	PCDH18	Activate
GSE72901	down	TMPO	Activate
GSE72901	down	TNS1	Activate
GSE72901	down	ZNHIT1	Activate
GSE72901	down	TSPAN9	Activate
GSE72901	down	ASUN	Activate
GSE72901	down	PPP1R10	Activate
GSE72901	down	HIVEP3	Activate
GSE72901	down	LGALS9	Activate
GSE72901	down	SYNPO	Activate
GSE72901	down	OASL2	Activate
GSE72901	down	TNS3	Activate
